timestamp,actual_price,predicted_price,MAE,MSE,RMSE,R2,MAPE
2023-09-01 22:57:55,25761.91,25754.1015625,7.8084374999998545,60.97169619140398,7.8084374999998545,,0.0003031001001090313
2023-09-01 22:58:56,25761.91,25754.1015625,7.8084374999998545,60.97169619140398,7.8084374999998545,0.0,0.0003031001001090313
2023-09-01 22:59:56,25761.91,25754.1015625,7.8084374999998545,60.971696191403986,7.808437499999855,0.0,0.0003031001001090313
2023-09-01 23:00:57,25798.08,25780.119140625,10.346542968750327,126.37688951570001,11.241747618395461,0.484807689445957,0.00040137736283925144
2023-09-01 23:01:57,25798.08,25780.119140625,11.869406250000612,165.62000551027762,12.869343631680584,0.47252177568942333,0.00046034372047738353
2023-09-01 23:02:58,25798.08,25780.119140625,12.8846484375008,191.78208283999606,13.848540819884096,0.4136309963800989,0.0004996546255694715
2023-09-01 23:03:58,25798.08,25780.119140625,13.609821428572364,210.46928093265205,14.507559440948434,0.34308900068257675,0.0005277338434923916
2023-09-01 23:04:59,25798.08,25780.119140625,14.153701171876037,224.48467950214405,14.98281280341392,0.2678865184297756,0.0005487932569345816
2023-09-01 23:05:59,25798.08,25780.119140625,14.576718750001115,235.38554505619337,15.342279656432853,0.19035379289933485,0.0005651728007229516
2023-09-01 23:07:00,25798.08,25780.119140625,14.915132812501179,244.10623749943284,15.623899561230955,0.11148949978167144,0.0005782764357536475
2023-09-01 23:08:00,25798.08,25780.119140625,15.192017045455776,251.24134949844694,15.850594610248757,0.03179297692199412,0.0005889975916878533
2023-09-01 23:09:01,25798.08,25780.119140625,15.422753906251273,257.18727616429203,16.03705946126945,-0.048458365765692735,0.0005979318882996915
