timestamp,actual_price,predicted_price,Actual Price,Predicted Price
2023-05-05 11:35:47,,,29528.46,28373.694820815323
2023-05-05 11:50:47,,,29503.42,28349.762244772908
2023-05-05 12:05:48,,,29586.93,28429.590524634717
2023-05-05 12:20:48,,,29563.94,28407.612069153784
2023-05-05 12:35:49,,,29567.12,28410.648320800065
2023-05-05 12:50:50,,,29579.16,28422.155046799777
2023-05-05 13:05:50,,,29460.39,28308.625552028414
2023-05-05 13:20:51,,,29491.5,28338.369427308437
2023-05-05 13:35:51,,,29493.43,28340.20571145415
2023-05-05 13:50:51,,,29457.0,28305.387014535067
2023-05-05 14:05:53,,,29399.16,28250.098168256878
2023-05-05 14:20:53,,,29376.88,28228.795308226345
2023-05-05 14:35:54,,,29426.72,28276.442462942003
2023-05-05 14:50:55,,,29487.66,28334.687039315697
2023-05-05 15:05:55,,,29561.66,28405.42423970103
2023-05-05 15:20:56,,,29508.33,28354.454098060723
2023-05-05 15:35:57,,,29483.05,28330.285849186777
2023-05-05 15:50:57,,,29485.5,28332.626865980026
2023-05-05 16:05:58,,,29493.12,28339.907192534207
2023-05-05 16:20:59,,,29484.94,28332.090710288285
2023-05-05 16:35:59,,,29517.13,28362.861726325747
2023-05-05 16:51:00,,,29488.81,28335.792737683652
2023-05-05 17:06:01,,,29486.78,28333.85236470401
2023-05-05 17:21:02,,,29511.18,28357.176119264957
2023-05-05 17:36:02,,,29512.25,28358.2032600224
2023-05-05 17:51:03,,,29545.88,28390.34903424382
2023-05-05 18:06:03,,,29589.73,28432.259519451854
2023-05-05 18:21:04,,,29558.04,28401.969668778776
2023-05-05 18:36:05,,,29536.12,28381.018354055283
2023-05-05 18:51:05,,,29487.44,28334.480825588103
2023-05-05 19:06:07,,,29505.61,28351.847949331997
2023-05-05 19:21:07,,,29506.8,28352.99096256494
2023-05-05 19:36:08,,,29557.56,28401.50814281702
2023-05-05 19:51:08,,,29694.0,28531.933415669202
2023-05-05 20:06:09,,,29671.11,28510.053157201408
2023-05-05 20:21:10,,,29612.05,28453.597730407117
2023-05-05 20:36:11,,,29563.73,28407.407819366454
2023-05-05 20:51:12,,,29610.64,28452.248503446575
2023-05-05 21:06:12,,,29541.39,28386.051932948827
2023-05-05 21:21:13,,,29465.42,28313.43720567226
2023-05-05 21:36:13,,,29471.65,28319.387944668528
2023-05-05 21:51:14,,,29486.08,28333.1826610744
2023-05-05 22:06:15,,,29463.76,28311.84837799966
2023-05-05 22:21:15,,,29415.7,28265.911815252897
2023-05-05 22:36:16,,,29373.27,28225.350557005404
2023-05-05 22:51:16,,,29360.4,28213.04254337847
