timestamp,actual_price,predicted_price,Actual Price,Predicted Price
2023-05-13 17:38:46,,,26862.56,26874.766969760956
2023-05-13 18:38:47,,,26889.94,26874.766969760956
2023-05-13 19:38:47,,,26775.28,26874.766969760956
2023-05-13 20:38:48,,,26741.31,26874.766969760956
2023-05-13 21:38:48,,,26730.0,26874.766969760956
2023-05-13 22:38:49,,,26810.64,26874.766969760956
2023-05-13 23:38:49,,,26865.03,26874.766969760956
2023-05-14 00:38:50,,,26825.87,26874.766969760956
2023-05-14 01:38:51,,,26828.49,26874.766969760956
2023-05-14 02:38:52,,,26843.29,26874.766969760956
2023-05-14 03:38:52,,,26855.21,26874.766969760956
2023-05-14 04:38:53,,,26845.53,26874.766969760956
2023-05-14 05:38:54,,,26842.53,26874.766969760956
2023-05-14 06:38:54,,,26827.07,26874.766969760956
2023-05-14 07:38:54,,,26805.98,26874.766969760956
2023-05-14 08:38:55,,,26871.33,26874.766969760956
2023-05-14 09:38:55,,,26912.42,26874.766969760956
2023-05-14 10:38:56,,,26963.41,26874.766969760956
2023-05-14 11:38:56,,,27082.02,26874.766969760956
2023-05-14 12:38:57,,,26958.7,26874.766969760956
2023-05-14 13:38:58,,,26940.72,26874.766969760956
2023-05-14 14:38:59,,,26920.72,26874.766969760956
