Local time,Open,High,Low,Close,Volume
06.05.2009 16:00:00.000 GMT-0500,0.74709,0.76166,0.74576,0.75355,94062.38950000002
07.05.2009 16:00:00.000 GMT-0500,0.75357,0.77078,0.75072,0.76787,63360.2703
08.05.2009 16:00:00.000 GMT-0500,0.76787,0.76787,0.76787,0.76787,0
09.05.2009 16:00:00.000 GMT-0500,0.76787,0.76787,0.76787,0.76787,0
10.05.2009 16:00:00.000 GMT-0500,0.76522,0.76993,0.75673,0.75908,77685.0503
11.05.2009 16:00:00.000 GMT-0500,0.75903,0.77034,0.75615,0.76828,90462.38949999999
12.05.2009 16:00:00.000 GMT-0500,0.76833,0.77036,0.75077,0.75451,102356.7901
13.05.2009 16:00:00.000 GMT-0500,0.75456,0.76171,0.74658,0.75858,100910.5809
14.05.2009 16:00:00.000 GMT-0500,0.75863,0.76016,0.74762,0.74959,80494.0999
15.05.2009 16:00:00.000 GMT-0500,0.74959,0.74959,0.74959,0.74959,0
16.05.2009 16:00:00.000 GMT-0500,0.74959,0.74959,0.74959,0.74959,0
17.05.2009 16:00:00.000 GMT-0500,0.74603,0.76674,0.74593,0.76334,70242.00039999999
18.05.2009 16:00:00.000 GMT-0500,0.76324,0.77836,0.76286,0.77118,85350.27089999999
19.05.2009 16:00:00.000 GMT-0500,0.77116,0.78091,0.76859,0.77254,89034.3515
20.05.2009 16:00:00.000 GMT-0500,0.77257,0.78134,0.76683,0.78111,88945.37989999999
21.05.2009 16:00:00.000 GMT-0500,0.78108,0.78673,0.77716,0.78386,72142.34949999998
22.05.2009 16:00:00.000 GMT-0500,0.78386,0.78386,0.78386,0.78386,0
23.05.2009 16:00:00.000 GMT-0500,0.78386,0.78386,0.78386,0.78386,0
24.05.2009 16:00:00.000 GMT-0500,0.77986,0.78253,0.77721,0.77875,21711.7999
25.05.2009 16:00:00.000 GMT-0500,0.77866,0.78869,0.77026,0.78521,83910.24999999997
26.05.2009 16:00:00.000 GMT-0500,0.78523,0.78906,0.77422,0.78004,83205.7196
27.05.2009 16:00:00.000 GMT-0500,0.77999,0.78684,0.77568,0.78553,97670.5007
28.05.2009 16:00:00.000 GMT-0500,0.78552,0.80124,0.78468,0.80069,78608.82059999999
29.05.2009 16:00:00.000 GMT-0500,0.80069,0.80069,0.80069,0.80069,0
30.05.2009 16:00:00.000 GMT-0500,0.80069,0.80069,0.80069,0.80069,0
31.05.2009 16:00:00.000 GMT-0500,0.80378,0.81531,0.80366,0.80764,73649.2901
01.06.2009 16:00:00.000 GMT-0500,0.80759,0.82305,0.80499,0.81856,87664.6802
02.06.2009 16:00:00.000 GMT-0500,0.81851,0.82632,0.79316,0.80281,85600.6292
03.06.2009 16:00:00.000 GMT-0500,0.80276,0.80901,0.78758,0.80246,77218.08039999998
04.06.2009 16:00:00.000 GMT-0500,0.80241,0.81231,0.79166,0.79317,59464.7597
05.06.2009 16:00:00.000 GMT-0500,0.79317,0.79317,0.79317,0.79317,0
06.06.2009 16:00:00.000 GMT-0500,0.79317,0.79317,0.79317,0.79317,0
07.06.2009 16:00:00.000 GMT-0500,0.79740,0.79852,0.78269,0.79141,65752.7104
08.06.2009 16:00:00.000 GMT-0500,0.79146,0.80431,0.78517,0.80159,68194.64970000002
09.06.2009 16:00:00.000 GMT-0500,0.80164,0.81346,0.79674,0.80556,68165.2511
10.06.2009 16:00:00.000 GMT-0500,0.80551,0.82376,0.80366,0.81742,68914.59999999999
11.06.2009 16:00:00.000 GMT-0500,0.81743,0.81856,0.80576,0.81326,65234.3294
12.06.2009 16:00:00.000 GMT-0500,0.81326,0.81326,0.81326,0.81326,0
13.06.2009 16:00:00.000 GMT-0500,0.81326,0.81326,0.81326,0.81326,0
14.06.2009 16:00:00.000 GMT-0500,0.80761,0.80924,0.79031,0.79096,58037.639500000005
15.06.2009 16:00:00.000 GMT-0500,0.79091,0.80681,0.78597,0.79159,74688.85040000001
16.06.2009 16:00:00.000 GMT-0500,0.79165,0.79966,0.78494,0.79551,77250.8903
17.06.2009 16:00:00.000 GMT-0500,0.79556,0.80536,0.79111,0.80164,59825.49010000001
18.06.2009 16:00:00.000 GMT-0500,0.80169,0.81179,0.79891,0.80540,46951.899699999994
19.06.2009 16:00:00.000 GMT-0500,0.80540,0.80540,0.80540,0.80540,0
20.06.2009 16:00:00.000 GMT-0500,0.80540,0.80540,0.80540,0.80540,0
21.06.2009 16:00:00.000 GMT-0500,0.80016,0.80266,0.78086,0.78298,61638.71020000001
22.06.2009 16:00:00.000 GMT-0500,0.78303,0.79786,0.77886,0.79491,75337.38939999999
23.06.2009 16:00:00.000 GMT-0500,0.79486,0.80546,0.79281,0.79961,66326.73969999999
24.06.2009 16:00:00.000 GMT-0500,0.79963,0.80351,0.79315,0.80211,114068.2704
25.06.2009 16:00:00.000 GMT-0500,0.80220,0.80870,0.80205,0.80723,92100.9595
26.06.2009 16:00:00.000 GMT-0500,0.80723,0.80723,0.80723,0.80723,0
27.06.2009 16:00:00.000 GMT-0500,0.80723,0.80723,0.80723,0.80723,0
28.06.2009 16:00:00.000 GMT-0500,0.80654,0.80970,0.79835,0.80815,85918.6298
29.06.2009 16:00:00.000 GMT-0500,0.80795,0.81550,0.80385,0.80625,107345.9895
30.06.2009 16:00:00.000 GMT-0500,0.80625,0.81076,0.80228,0.80704,60627.54
01.07.2009 16:00:00.000 GMT-0500,0.80719,0.80781,0.78994,0.79383,77014.331
02.07.2009 16:00:00.000 GMT-0500,0.79378,0.80066,0.79352,0.79747,30410.3053
03.07.2009 16:00:00.000 GMT-0500,0.79747,0.79747,0.79747,0.79747,0
04.07.2009 16:00:00.000 GMT-0500,0.79747,0.79747,0.79747,0.79747,0
05.07.2009 16:00:00.000 GMT-0500,0.79324,0.79801,0.78786,0.79621,49937.559899999986
06.07.2009 16:00:00.000 GMT-0500,0.79616,0.80376,0.78524,0.78659,60991.1104
07.07.2009 16:00:00.000 GMT-0500,0.78656,0.78906,0.77226,0.77899,66296.7199
08.07.2009 16:00:00.000 GMT-0500,0.77901,0.78611,0.77781,0.78368,52150.884699999995
09.07.2009 16:00:00.000 GMT-0500,0.78373,0.78383,0.77386,0.77840,65712.52990000001
10.07.2009 16:00:00.000 GMT-0500,0.77840,0.77840,0.77840,0.77840,0
11.07.2009 16:00:00.000 GMT-0500,0.77840,0.77840,0.77840,0.77840,0
12.07.2009 16:00:00.000 GMT-0500,0.77946,0.78456,0.77006,0.78271,65165.2797
13.07.2009 16:00:00.000 GMT-0500,0.78276,0.79483,0.78131,0.79425,64550.569999999985
14.07.2009 16:00:00.000 GMT-0500,0.79424,0.80569,0.79246,0.80149,59650.22989999999
15.07.2009 16:00:00.000 GMT-0500,0.80146,0.80716,0.79596,0.80191,56060.159999999996
16.07.2009 16:00:00.000 GMT-0500,0.80186,0.80356,0.79696,0.80161,52558.28979999999
17.07.2009 16:00:00.000 GMT-0500,0.80161,0.80161,0.80161,0.80161,0
18.07.2009 16:00:00.000 GMT-0500,0.80161,0.80161,0.80161,0.80161,0
19.07.2009 16:00:00.000 GMT-0500,0.80611,0.81798,0.80576,0.81271,48334.830200000004
20.07.2009 16:00:00.000 GMT-0500,0.81274,0.81926,0.80888,0.81444,55058.42909999999
21.07.2009 16:00:00.000 GMT-0500,0.81449,0.82136,0.80986,0.81691,53667.4699
22.07.2009 16:00:00.000 GMT-0500,0.81696,0.82226,0.81076,0.81331,49400.4461
23.07.2009 16:00:00.000 GMT-0500,0.81326,0.81886,0.81229,0.81671,43792.5003
