Local time,Open,High,Low,Close,Volume
06.05.2009 16:00:00.000 GMT-0500,1.33335,1.34700,1.32515,1.33880,370806.60399999993
07.05.2009 16:00:00.000 GMT-0500,1.33879,1.36500,1.33415,1.36390,385279.5457
08.05.2009 16:00:00.000 GMT-0500,1.36390,1.36390,1.36390,1.36390,0
09.05.2009 16:00:00.000 GMT-0500,1.36390,1.36390,1.36390,1.36390,0
10.05.2009 16:00:00.000 GMT-0500,1.36440,1.36670,1.35570,1.35810,602735.7078
11.05.2009 16:00:00.000 GMT-0500,1.35810,1.37075,1.35625,1.36480,775113.9227999998
12.05.2009 16:00:00.000 GMT-0500,1.36470,1.37220,1.35660,1.35995,611233.2597
13.05.2009 16:00:00.000 GMT-0500,1.35985,1.36650,1.35245,1.36390,457880.7037
14.05.2009 16:00:00.000 GMT-0500,1.36380,1.36500,1.34620,1.34945,399219.7035000001
15.05.2009 16:00:00.000 GMT-0500,1.34945,1.34945,1.34945,1.34945,0
16.05.2009 16:00:00.000 GMT-0500,1.34945,1.34945,1.34945,1.34945,0
17.05.2009 16:00:00.000 GMT-0500,1.34778,1.35630,1.34230,1.35600,484972.87059999997
18.05.2009 16:00:00.000 GMT-0500,1.35610,1.36680,1.35300,1.36290,514043.1293999999
19.05.2009 16:00:00.000 GMT-0500,1.36272,1.38290,1.35835,1.37790,498996.6021
20.05.2009 16:00:00.000 GMT-0500,1.37790,1.39230,1.37280,1.38890,543033.5069
21.05.2009 16:00:00.000 GMT-0500,1.38890,1.40500,1.38875,1.39955,641004.5615999999
22.05.2009 16:00:00.000 GMT-0500,1.39955,1.39955,1.39955,1.39955,0
23.05.2009 16:00:00.000 GMT-0500,1.39955,1.39955,1.39955,1.39955,0
24.05.2009 16:00:00.000 GMT-0500,1.40169,1.40480,1.39575,1.40140,393263.3526
25.05.2009 16:00:00.000 GMT-0500,1.40117,1.40220,1.38600,1.39840,826481.1833999999
26.05.2009 16:00:00.000 GMT-0500,1.39835,1.40005,1.38235,1.38235,779078.3857999999
27.05.2009 16:00:00.000 GMT-0500,1.38245,1.39830,1.37930,1.39410,799235.0284
28.05.2009 16:00:00.000 GMT-0500,1.39405,1.41685,1.39240,1.41565,813912.8237000001
29.05.2009 16:00:00.000 GMT-0500,1.41565,1.41565,1.41565,1.41565,0
30.05.2009 16:00:00.000 GMT-0500,1.41565,1.41565,1.41565,1.41565,0
31.05.2009 16:00:00.000 GMT-0500,1.41449,1.42460,1.40990,1.41590,808440.7773
01.06.2009 16:00:00.000 GMT-0500,1.41580,1.43310,1.41015,1.43025,783653.1484000001
02.06.2009 16:00:00.000 GMT-0500,1.43010,1.43370,1.41085,1.41625,819812.2422000001
03.06.2009 16:00:00.000 GMT-0500,1.41620,1.42410,1.40700,1.41773,958918.5782999999
04.06.2009 16:00:00.000 GMT-0500,1.41788,1.42675,1.39325,1.39650,766674.9883000001
05.06.2009 16:00:00.000 GMT-0500,1.39650,1.39650,1.39650,1.39650,0
06.06.2009 16:00:00.000 GMT-0500,1.39650,1.39650,1.39650,1.39650,0
07.06.2009 16:00:00.000 GMT-0500,1.39680,1.40020,1.38050,1.38985,830691.2687999998
08.06.2009 16:00:00.000 GMT-0500,1.38985,1.41010,1.38520,1.40630,759039.6382000002
09.06.2009 16:00:00.000 GMT-0500,1.40630,1.41435,1.39150,1.39835,699603.4892
10.06.2009 16:00:00.000 GMT-0500,1.39847,1.41715,1.39430,1.41075,668261.8424999998
11.06.2009 16:00:00.000 GMT-0500,1.41075,1.41285,1.39360,1.40150,707804.6330000001
